Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
214mDMSOw1_S00_L003_R1_001	(20, 1264.0)	(22, 2439.0)	(24, 4394.0)	(26, 23628.0)	(28, 32115.0)	(30, 36018.0)	(32, 140706.0)	(34, 276668.0)	(36, 368590.0)	(38, 423497.0)	(40, 444822.0)	(42, 517205.0)	(44, 564774.0)	(46, 506804.0)	(48, 487770.0)	(50, 453490.0)	(52, 469614.0)	(54, 484047.0)	(56, 408433.0)	(58, 403438.0)	(60, 371640.0)	(62, 367259.0)	(64, 355812.0)	(66, 328537.0)	(68, 315133.0)	(70, 519556.0)	(72, 2141333.0)	(74, 5418355.0)
214mDMSOw1_S00_L004_R1_001	(20, 1168.0)	(22, 2208.0)	(24, 4241.0)	(26, 22494.0)	(28, 30773.0)	(30, 34016.0)	(32, 133782.0)	(34, 262126.0)	(36, 351464.0)	(38, 404906.0)	(40, 429636.0)	(42, 500477.0)	(44, 548583.0)	(46, 493487.0)	(48, 477429.0)	(50, 445589.0)	(52, 460591.0)	(54, 474283.0)	(56, 403862.0)	(58, 398424.0)	(60, 367536.0)	(62, 365150.0)	(64, 353803.0)	(66, 326521.0)	(68, 314126.0)	(70, 521122.0)	(72, 2167244.0)	(74, 5516773.0)
215mDMSOw1_S00_L001_R1_001	(20, 1749.0)	(22, 3080.0)	(24, 6194.0)	(26, 39729.0)	(28, 61732.0)	(30, 55972.0)	(32, 189333.0)	(34, 393134.0)	(36, 561452.0)	(38, 665026.0)	(40, 643876.0)	(42, 666885.0)	(44, 681107.0)	(46, 609631.0)	(48, 603579.0)	(50, 555340.0)	(52, 515785.0)	(54, 498570.0)	(56, 422337.0)	(58, 412683.0)	(60, 388186.0)	(62, 370165.0)	(64, 348144.0)	(66, 314993.0)	(68, 309833.0)	(70, 523465.0)	(72, 2300316.0)	(74, 6073423.0)
215mDMSOw1_S00_L002_R1_001	(20, 1719.0)	(22, 2991.0)	(24, 6021.0)	(26, 38767.0)	(28, 60688.0)	(30, 54947.0)	(32, 185890.0)	(34, 386150.0)	(36, 553575.0)	(38, 657177.0)	(40, 636110.0)	(42, 657834.0)	(44, 674828.0)	(46, 602877.0)	(48, 599396.0)	(50, 551145.0)	(52, 511639.0)	(54, 495218.0)	(56, 417655.0)	(58, 410692.0)	(60, 387380.0)	(62, 368962.0)	(64, 347321.0)	(66, 313158.0)	(68, 308883.0)	(70, 523198.0)	(72, 2317641.0)	(74, 6139301.0)
215mDMSOw1_S00_L003_R1_001	(20, 1827.0)	(22, 3019.0)	(24, 6349.0)	(26, 40637.0)	(28, 62213.0)	(30, 57219.0)	(32, 191584.0)	(34, 397548.0)	(36, 567747.0)	(38, 672748.0)	(40, 653481.0)	(42, 673970.0)	(44, 689454.0)	(46, 614428.0)	(48, 611276.0)	(50, 560259.0)	(52, 520442.0)	(54, 504499.0)	(56, 426408.0)	(58, 415978.0)	(60, 392105.0)	(62, 375850.0)	(64, 351816.0)	(66, 317588.0)	(68, 313109.0)	(70, 530820.0)	(72, 2320699.0)	(74, 6061816.0)
215mDMSOw1_S00_L004_R1_001	(20, 1833.0)	(22, 3044.0)	(24, 6247.0)	(26, 39293.0)	(28, 60820.0)	(30, 55790.0)	(32, 188284.0)	(34, 388564.0)	(36, 557403.0)	(38, 662113.0)	(40, 643674.0)	(42, 663970.0)	(44, 679981.0)	(46, 607329.0)	(48, 604272.0)	(50, 558345.0)	(52, 518054.0)	(54, 501065.0)	(56, 425113.0)	(58, 416436.0)	(60, 393007.0)	(62, 375824.0)	(64, 352636.0)	(66, 319049.0)	(68, 314471.0)	(70, 535126.0)	(72, 2347556.0)	(74, 6156351.0)
217mTBTw1_S00_L001_R1_001	(20, 1297.0)	(22, 2015.0)	(24, 4431.0)	(26, 34936.0)	(28, 41044.0)	(30, 43022.0)	(32, 185747.0)	(34, 441696.0)	(36, 680779.0)	(38, 807839.0)	(40, 793074.0)	(42, 751944.0)	(44, 754340.0)	(46, 667269.0)	(48, 696527.0)	(50, 635739.0)	(52, 536861.0)	(54, 516574.0)	(56, 415729.0)	(58, 416546.0)	(60, 381621.0)	(62, 339210.0)	(64, 315065.0)	(66, 272284.0)	(68, 265306.0)	(70, 419218.0)	(72, 1640299.0)	(74, 4126298.0)
217mTBTw1_S00_L002_R1_001	(20, 1168.0)	(22, 1811.0)	(24, 4126.0)	(26, 32614.0)	(28, 39074.0)	(30, 41160.0)	(32, 177159.0)	(34, 422756.0)	(36, 651052.0)	(38, 776908.0)	(40, 761843.0)	(42, 725889.0)	(44, 728922.0)	(46, 648469.0)	(48, 675783.0)	(50, 619224.0)	(52, 522834.0)	(54, 503269.0)	(56, 406082.0)	(58, 407839.0)	(60, 375899.0)	(62, 331581.0)	(64, 309111.0)	(66, 268748.0)	(68, 261932.0)	(70, 416593.0)	(72, 1644699.0)	(74, 4159556.0)
217mTBTw1_S00_L003_R1_001	(20, 1251.0)	(22, 1950.0)	(24, 4425.0)	(26, 34156.0)	(28, 40511.0)	(30, 42940.0)	(32, 181919.0)	(34, 435579.0)	(36, 672288.0)	(38, 798575.0)	(40, 785026.0)	(42, 744811.0)	(44, 746358.0)	(46, 662822.0)	(48, 690839.0)	(50, 629778.0)	(52, 534114.0)	(54, 512865.0)	(56, 412727.0)	(58, 413788.0)	(60, 379571.0)	(62, 337101.0)	(64, 314610.0)	(66, 270550.0)	(68, 264048.0)	(70, 417436.0)	(72, 1613765.0)	(74, 4010754.0)
217mTBTw1_S00_L004_R1_001	(20, 1191.0)	(22, 1801.0)	(24, 4179.0)	(26, 31438.0)	(28, 37144.0)	(30, 39578.0)	(32, 168981.0)	(34, 404622.0)	(36, 622292.0)	(38, 744655.0)	(40, 735855.0)	(42, 704645.0)	(44, 708356.0)	(46, 634115.0)	(48, 662390.0)	(50, 608085.0)	(52, 514743.0)	(54, 494221.0)	(56, 400952.0)	(58, 403149.0)	(60, 371621.0)	(62, 328683.0)	(64, 308180.0)	(66, 265645.0)	(68, 259798.0)	(70, 413853.0)	(72, 1603678.0)	(74, 3991439.0)
