Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
215mDMSOw1_S00_L004_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 46.0)	(19.0, 285.0)	(20.0, 1381.0)	(21.0, 4446.0)	(22.0, 10491.0)	(23.0, 21230.0)	(24.0, 38978.0)	(25.0, 69459.0)	(26.0, 115977.0)	(27.0, 182219.0)	(28.0, 267045.0)	(29.0, 373058.0)	(30.0, 500060.0)	(31.0, 665189.0)	(32.0, 913225.0)	(33.0, 1415900.0)	(34.0, 3164007.0)	(35.0, 10632650.0)			
217mTBTw1_S00_L001_R1_001	(15.0, 2.0)	(16.0, 2.0)	(17.0, 12.0)	(18.0, 86.0)	(19.0, 500.0)	(20.0, 2293.0)	(21.0, 6522.0)	(22.0, 13298.0)	(23.0, 22509.0)	(24.0, 36737.0)	(25.0, 61064.0)	(26.0, 99636.0)	(27.0, 156298.0)	(28.0, 233589.0)	(29.0, 331013.0)	(30.0, 454795.0)	(31.0, 618064.0)	(32.0, 859167.0)	(33.0, 1349810.0)	(34.0, 2984774.0)	(35.0, 8956539.0)			
217mTBTw1_S00_L002_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 11.0)	(18.0, 83.0)	(19.0, 552.0)	(20.0, 2457.0)	(21.0, 7024.0)	(22.0, 14122.0)	(23.0, 23090.0)	(24.0, 36808.0)	(25.0, 60863.0)	(26.0, 98711.0)	(27.0, 155842.0)	(28.0, 233490.0)	(29.0, 333867.0)	(30.0, 459658.0)	(31.0, 625023.0)	(32.0, 875012.0)	(33.0, 1370686.0)	(34.0, 2995704.0)	(35.0, 8623091.0)		
217mTBTw1_S00_L003_R1_001	(17.0, 5.0)	(18.0, 54.0)	(19.0, 427.0)	(20.0, 1938.0)	(21.0, 5848.0)	(22.0, 12847.0)	(23.0, 23117.0)	(24.0, 39834.0)	(25.0, 68386.0)	(26.0, 112383.0)	(27.0, 174191.0)	(28.0, 257643.0)	(29.0, 362285.0)	(30.0, 490540.0)	(31.0, 657201.0)	(32.0, 911793.0)	(33.0, 1419358.0)	(34.0, 3096992.0)	(35.0, 8319715.0)					
217mTBTw1_S00_L004_R1_001	(16.0, 3.0)	(17.0, 6.0)	(18.0, 55.0)	(19.0, 367.0)	(20.0, 1708.0)	(21.0, 5361.0)	(22.0, 11894.0)	(23.0, 22008.0)	(24.0, 38398.0)	(25.0, 66681.0)	(26.0, 111157.0)	(27.0, 174453.0)	(28.0, 259120.0)	(29.0, 364426.0)	(30.0, 495415.0)	(31.0, 662095.0)	(32.0, 914156.0)	(33.0, 1415793.0)	(34.0, 3059988.0)	(35.0, 7862205.0)				
218mTBTw1_S00_L001_R1_001	(14.0, 1.0)	(15.0, 4.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 35.0)	(19.0, 180.0)	(20.0, 888.0)	(21.0, 2900.0)	(22.0, 7398.0)	(23.0, 16302.0)	(24.0, 32557.0)	(25.0, 60411.0)	(26.0, 105626.0)	(27.0, 170971.0)	(28.0, 261110.0)	(29.0, 380561.0)	(30.0, 534574.0)	(31.0, 745610.0)	(32.0, 1083018.0)	(33.0, 1759656.0)	(34.0, 3811198.0)	(35.0, 9003412.0)		
218mTBTw1_S00_L002_R1_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 14.0)	(18.0, 39.0)	(19.0, 203.0)	(20.0, 873.0)	(21.0, 2899.0)	(22.0, 7375.0)	(23.0, 16195.0)	(24.0, 31972.0)	(25.0, 60176.0)	(26.0, 104053.0)	(27.0, 170328.0)	(28.0, 262061.0)	(29.0, 382559.0)	(30.0, 541968.0)	(31.0, 760964.0)	(32.0, 1108552.0)	(33.0, 1802147.0)	(34.0, 3854230.0)	(35.0, 8425147.0)		
218mTBTw1_S00_L003_R1_001	(16.0, 1.0)	(17.0, 7.0)	(18.0, 26.0)	(19.0, 174.0)	(20.0, 784.0)	(21.0, 2820.0)	(22.0, 7437.0)	(23.0, 16938.0)	(24.0, 34462.0)	(25.0, 65000.0)	(26.0, 113388.0)	(27.0, 180718.0)	(28.0, 272974.0)	(29.0, 393063.0)	(30.0, 548501.0)	(31.0, 758617.0)	(32.0, 1092299.0)	(33.0, 1767903.0)	(34.0, 3773205.0)	(35.0, 7978569.0)				
218mTBTw1_S00_L004_R1_001	(15.0, 1.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 19.0)	(19.0, 125.0)	(20.0, 634.0)	(21.0, 2268.0)	(22.0, 6302.0)	(23.0, 15007.0)	(24.0, 31533.0)	(25.0, 60808.0)	(26.0, 106967.0)	(27.0, 173291.0)	(28.0, 264560.0)	(29.0, 380479.0)	(30.0, 533730.0)	(31.0, 740463.0)	(32.0, 1066294.0)	(33.0, 1728076.0)	(34.0, 3651447.0)	(35.0, 6968278.0)			
225fDMSOw5_S00_L001_R1_001	(17.0, 1.0)	(18.0, 8.0)	(19.0, 47.0)	(20.0, 231.0)	(21.0, 741.0)	(22.0, 1913.0)	(23.0, 3998.0)	(24.0, 7936.0)	(25.0, 15268.0)	(26.0, 27088.0)	(27.0, 44151.0)	(28.0, 68228.0)	(29.0, 99056.0)	(30.0, 138300.0)	(31.0, 191148.0)	(32.0, 268517.0)	(33.0, 420496.0)	(34.0, 910223.0)	(35.0, 2597106.0)					
225fDMSOw5_S00_L002_R1_001	(18.0, 3.0)	(19.0, 42.0)	(20.0, 216.0)	(21.0, 744.0)	(22.0, 1826.0)	(23.0, 3972.0)	(24.0, 7831.0)	(25.0, 14796.0)	(26.0, 26150.0)	(27.0, 43483.0)	(28.0, 66547.0)	(29.0, 98364.0)	(30.0, 137886.0)	(31.0, 190518.0)	(32.0, 270064.0)	(33.0, 422939.0)	(34.0, 906537.0)	(35.0, 2516810.0)						
