Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
215mDMSOw1_S00_L001_R1_001	(1.0, 22.01304935869985)	(2.0, 17.232137393952705)	(3.0, 13.027887360265531)	(4.0, 7.38601654444022)	(5.0, 3.6014972006735957)	(6.0, 1.8714188195859565)	(7.0, 1.1967055654038405)	(8.0, 0.8180575207689167)	(9.0, 0.7111561043488723)	('>10', 10.5833032143846)	('>50', 4.518158042938262)	('>100', 11.671319173861887)	('>500', 3.8633742294975444)	('>1k', 1.5059194711778354)	('>5k', 0.0)	('>10k+', 0.0)
215mDMSOw1_S00_L002_R1_001	(1.0, 21.364608782487483)	(2.0, 17.568611883698004)	(3.0, 12.979285235250796)	(4.0, 7.64564961219047)	(5.0, 3.773326194467388)	(6.0, 1.975664218206052)	(7.0, 1.2388453896348623)	(8.0, 0.9008100806237669)	(9.0, 0.7738647168952768)	('>10', 10.856445076640513)	('>50', 4.2772848227162985)	('>100', 11.267058837520025)	('>500', 3.8238338833135592)	('>1k', 1.5547112663557432)	('>5k', 0.0)	('>10k+', 0.0)
215mDMSOw1_S00_L003_R1_001	(1.0, 23.019989210263184)	(2.0, 17.206975704537957)	(3.0, 12.673062802689056)	(4.0, 7.29652436383981)	(5.0, 3.762528537294717)	(6.0, 1.8518637887364595)	(7.0, 1.0953466320922856)	(8.0, 0.8689830056511287)	(9.0, 0.7277427340393172)	('>10', 10.844577097359274)	('>50', 4.421510116409623)	('>100', 11.181338915756948)	('>500', 3.631128463695738)	('>1k', 1.4184286276345117)	('>5k', 0.0)	('>10k+', 0.0)
215mDMSOw1_S00_L004_R1_001	(1.0, 22.857929456239688)	(2.0, 16.797407353259793)	(3.0, 12.921314521048046)	(4.0, 7.440704479941364)	(5.0, 3.8183678499296922)	(6.0, 1.9339462409969859)	(7.0, 1.192452969966066)	(8.0, 0.8628999140095331)	(9.0, 0.7692697265263397)	('>10', 10.467601523534423)	('>50', 4.343905978864477)	('>100', 11.258314809320797)	('>500', 3.7441639767359876)	('>1k', 1.5917211996269707)	('>5k', 0.0)	('>10k+', 0.0)
217mTBTw1_S00_L001_R1_001	(1.0, 43.4453564667052)	(2.0, 17.18921371860355)	(3.0, 5.670011938982808)	(4.0, 2.0350021344975873)	(5.0, 1.1125704484281507)	(6.0, 0.8772366082868617)	(7.0, 0.7357052185377914)	(8.0, 0.6452548343564326)	(9.0, 0.6148142765245601)	('>10', 10.29499447046584)	('>50', 4.441104830804156)	('>100', 9.774752908476229)	('>500', 2.4146147832288927)	('>1k', 0.7493673621019586)	('>5k', 0.0)	('>10k+', 0.0)
217mTBTw1_S00_L002_R1_001	(1.0, 43.26126061030078)	(2.0, 17.3547927400207)	(3.0, 5.786647573164365)	(4.0, 2.1525839951347283)	(5.0, 1.244958168515207)	(6.0, 0.91913852004478)	(7.0, 0.8183830072554463)	(8.0, 0.7364719307346491)	(9.0, 0.6614590052916993)	('>10', 10.076271215691248)	('>50', 4.295985140628372)	('>100', 9.448860334371306)	('>500', 2.4548743540345974)	('>1k', 0.7883134048121946)	('>5k', 0.0)	('>10k+', 0.0)
217mTBTw1_S00_L003_R1_001	(1.0, 44.715708339628215)	(2.0, 16.785282615609013)	(3.0, 5.529265304546386)	(4.0, 2.0563075953300896)	(5.0, 1.21582942600092)	(6.0, 0.9099042590610782)	(7.0, 0.768624417588122)	(8.0, 0.6871260961594474)	(9.0, 0.5994281114753108)	('>10', 10.181602868362088)	('>50', 4.35470868032808)	('>100', 9.281996492115354)	('>500', 2.255519159818177)	('>1k', 0.6586966339776351)	('>5k', 0.0)	('>10k+', 0.0)
217mTBTw1_S00_L004_R1_001	(1.0, 45.038027729218285)	(2.0, 16.6023391429611)	(3.0, 5.338909421766962)	(4.0, 2.0354359868149783)	(5.0, 1.1449765293804348)	(6.0, 0.8981309363302526)	(7.0, 0.7433599794620673)	(8.0, 0.6779271323329197)	(9.0, 0.6672302063415486)	('>10', 10.146791567408952)	('>50', 4.286478405900133)	('>100', 9.39099299329252)	('>500', 2.3416717991844553)	('>1k', 0.68772816960539)	('>5k', 0.0)	('>10k+', 0.0)
218mTBTw1_S00_L001_R1_001	(1.0, 37.44839641197014)	(2.0, 13.926876194755925)	(3.0, 4.590798071357855)	(4.0, 1.6948463071286792)	(5.0, 0.961820319240664)	(6.0, 0.7599276192448559)	(7.0, 0.6862700308799681)	(8.0, 0.566190831710637)	(9.0, 0.5527649418449911)	('>10', 10.352508279064015)	('>50', 5.276089879028633)	('>100', 13.300176288967197)	('>500', 5.356409557611744)	('>1k', 4.526925267194719)	('>5k', 0.0)	('>10k+', 0.0)
218mTBTw1_S00_L002_R1_001	(1.0, 38.66728622540859)	(2.0, 13.709109213256854)	(3.0, 4.517894928120252)	(4.0, 1.71334381222671)	(5.0, 1.0424911528668335)	(6.0, 0.8386787791777703)	(7.0, 0.6965672775924205)	(8.0, 0.5996804284605732)	(9.0, 0.6154321669843437)	('>10', 10.502909172666925)	('>50', 4.730834552720248)	('>100', 12.42822666136685)	('>500', 5.379840967395355)	('>1k', 4.557704661756072)	('>5k', 0.0)	('>10k+', 0.0)
218mTBTw1_S00_L003_R1_001	(1.0, 40.537544194541354)	(2.0, 13.027337241544783)	(3.0, 4.397490509442992)	(4.0, 1.5611345472383835)	(5.0, 1.0159329663104784)	(6.0, 0.7847396811574872)	(7.0, 0.69032874292786)	(8.0, 0.5935227126126194)	(9.0, 0.5704808043840921)	('>10', 10.335776438791623)	('>50', 4.963931858568345)	('>100', 12.701197895475227)	('>500', 5.052705602316679)	('>1k', 3.7678768046881825)	('>5k', 0.0)	('>10k+', 0.0)
