ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0048639	GO:0048639	positive regulation of developmental growth	25/1023	221/25730	0.113122171945701	2.84519402166461	5.60571122430445	2.76136488626848e-06	0.000436201954118511	0.000351849073119861	Mtm1/Cyfip1/Macf1/Celf1/Tbx20/Smurf1/Fxn/Nedd4l/Cdh4/Syt1/Ntrk3/Yap1/Myo5b/Insr/Ctnnd2/Ghsr/Ghr/Sema5a/Atp8a2/Cxcl12/Prox1/Prkn/Csf1/Rnf157/Bbs2	25
GO:0097485	GO:0097485	neuron projection guidance	28/1023	265/25730	0.105660377358491	2.65751858204688	5.51885222417952	2.7666085884895e-06	0.000436201954118511	0.000351849073119861	Cyfip1/Sema6d/Apbb2/Lmx1a/B3gnt2/Ptprm/Pou4f3/Wnt7b/Flrt2/Bmp7/Cdh4/Diaph2/Lhx4/Kalrn/Sema4b/Or8a1b/Sema5a/Cxcl12/Dpysl5/Mapk8ip3/Ext1/Lgr4/Epha4/Vasp/Gap43/Ablim1/Otx2/Notch3	28
GO:0030516	GO:0030516	regulation of axon extension	16/1023	103/25730	0.155339805825243	3.90703147984701	6.015319856903	3.02829755587925e-06	0.00044000871511362	0.000354919681389887	Cyfip1/Macf1/Sema6d/Smurf1/Fxn/Cit/Cdh4/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Sin3a/Abl1/Sema5a/Cxcl12	16
GO:0099072	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	22/1023	180/25730	0.122222222222222	3.07407407407407	5.68204051256244	3.04092521714266e-06	0.00044000871511362	0.000354919681389887	Grip2/Magi2/Grip1/Nedd4l/Nptx2/Nsg1/Camk2a/Nrxn3/Dlg2/Gphn/Ctnnd2/Grid1/Kalrn/Pip5k1c/Agap3/Grid2/Ghsr/Neto1/Porcn/Prkn/Rab8a/Iqsec1	22
GO:0051962	GO:0051962	positive regulation of nervous system development	36/1023	392/25730	0.0918367346938776	2.30983302411874	5.3175559262263	3.14751873240918e-06	0.00044000871511362	0.000354919681389887	Cyfip1/Cbln2/Trp73/Cux2/Macf1/Smurf1/Grip1/Fxn/Opcml/Tiam1/Flrt2/Nrxn1/Nefl/Cdh4/Clstn2/Lrrtm3/Ntrk3/Adgrb2/Myo5b/Ctnnd2/Kalrn/Serpine2/Grid2/Sema5a/Lrrn1/Cxcl12/Prmt5/Iqsec1/Adgrl2/Dlg5/Slitrk6/Kdr/Epha4/Bhlhb9/Tenm4/Dmrta2	36
GO:2000146	GO:2000146	negative regulation of cell motility	33/1023	344/25730	0.0959302325581395	2.41279069767442	5.36783518667769	3.16561040673554e-06	0.00044000871511362	0.000354919681389887	Rgcc/Trib1/Kank1/Sema6d/Srgap3/Magi2/Ptprm/Nav3/Cdh11/Pten/Wnt4/Serpinb1a/Adipor2/Dpep1/Macir/Arhgap4/Mif/Sin3a/Thbs1/Stard13/Stat3/Ptpn1/Dach1/Cxcl12/Ccl25/Coro1c/Dusp10/Tafa5/Dlg5/Tmeff2/Epha4/Tet1/Nf1	33
GO:0050768	GO:0050768	negative regulation of neurogenesis	21/1023	167/25730	0.125748502994012	3.16276537833424	5.70559573736233	3.21359430603835e-06	0.00044000871511362	0.000354919681389887	Sema6d/Kdm4a/Opcml/Wnt7b/Bmp7/Cit/Pten/Ntrk3/Casz1/Arhgap4/Negr1/Sema5a/Rnf10/Nf2/Prox1/Dpysl5/Daam2/Rgma/Syngap1/Dusp10/Nf1	21
GO:0141091	GO:0141091	transforming growth factor beta receptor superfamily signaling pathway	35/1023	378/25730	0.0925925925925926	2.32884399551066	5.29606184436009	3.5792385496206e-06	0.000477507132658358	0.000385166642303302	Rgcc/Spry2/Smpd3/Veph1/Msx1/Hivep1/Tbx20/Smurf1/Magi2/Fstl5/Mir122/Gcnt2/Bmp7/Tcf7l2/Zfyve9/Fstl1/Dnm2/Sin3a/Ryr1/Skor2/Crim1/Abl1/Thbs1/Vwc2l/Stat3/Wfikkn2/Lrrc32/Mir145b/Hsp90ab1/Rgma/Zfp423/Kdr/Ext1/Itga8/Tet1	35
GO:0001667	GO:0001667	ameboidal-type cell migration	29/1023	287/25730	0.101045296167247	2.54144229753986	5.34346936786157	4.49905284702341e-06	0.00058521429907657	0.000472045360554798	Tns1/Kitl/Kank1/Macf1/Itga2/Sema6d/Amot/Bmp7/Pten/Gab2/Prkce/Adipor2/Slc8a1/Macir/Arhgap4/Sema4b/Thbs1/Sema5a/Rreb1/Rffl/Cxcl12/Prox1/Daam2/Sdc2/Coro1c/Dusp10/Iqsec1/Ythdf3/Insl3	29
GO:0050905	GO:0050905	neuromuscular process	25/1023	228/25730	0.109649122807018	2.75784157363105	5.42499443488621	4.83648246692903e-06	0.000613761421351994	0.000495072030696946	Rbfox1/Fxn/Pou4f3/Kcnma1/Nrxn1/Nefl/Pten/Vps54/Ctnna2/Grin2b/Prkd1/Abl1/Grid2/Otof/Atp8a2/Mdga2/Ankfn1/Stac/Atp1a3/Cwh43/Prkn/Agtpbp1/Tmem150c/Slitrk6/Itpr1	25
GO:0061387	GO:0061387	regulation of extent of cell growth	17/1023	120/25730	0.141666666666667	3.56313131313131	5.72658818413718	5.4665260583724e-06	0.000677198454326467	0.00054624158884037	Cyfip1/Macf1/Sema6d/Smurf1/Fxn/Cit/Cdh4/Ntrk3/Dnm2/Myo5b/Arhgap4/Ctnnd2/Sin3a/Abl1/Sema5a/Cxcl12/Rgma	17
