ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003012	GO:0003012	muscle system process	39/976	473/25730	0.0824524312896406	2.17366911586317	5.11562892013935	5.443843583544e-06	0.000857652811843795	0.000677919149925224	Grip2/Map2k4/Smpd3/Calca/Itga2/Sgcd/Dock4/Tbx20/Foxo1/Kcnip2/Kdm4a/Apbb2/Kcnip1/Cacna1c/Nedd4l/Tiam1/Kcnma1/Gja5/Atp2b1/Vps54/Kcnq1/Slc8a1/Npr3/Kcnn2/Prkd1/Ryr1/Arhgap42/Mir448/Ghsr/Gtf2ird1/Atp8a2/Atp1a3/Stac/Myom2/Tbx2/Hdac4/Ryr2/P2rx4/Cert1	39
GO:0050905	GO:0050905	neuromuscular process	24/976	228/25730	0.105263157894737	2.77502157031924	5.34561413714763	6.83238859172787e-06	0.00104475259671745	0.000825809444647233	Rbfox1/Pou4f3/Kcnma1/Nefl/Pten/Vps54/Prkd1/Ctnna2/Fxn/Grin2b/Grid2/Abl1/Otof/Atp8a2/Mdga2/Ankfn1/Atp1a3/Stac/Cwh43/Prkn/Agtpbp1/Tmem150c/Slitrk6/Itpr1	24
GO:0090132	GO:0090132	epithelium migration	16/976	115/25730	0.139130434782609	3.66785459729152	5.69347692928021	7.21638181716275e-06	0.00105602097237089	0.000834716367750061	Kitl/Kank1/Macf1/Itga2/Pten/Gab2/Prkce/Macir/Rreb1/Prox1/Dusp10/Daam2/Sdc2/Iqsec1/Coro1c/Tgfb2	16
GO:0006935	GO:0006935	chemotaxis	39/976	479/25730	0.081419624217119	2.14644152777302	5.02914368714443	7.31232063961375e-06	0.00105602097237089	0.000834716367750061	Gpsm3/Calca/Itga2/Cdh13/Sema6d/Dock4/Clxn/Amot/Tiam1/Wnt7b/Flrt2/Tnfsf18/Dpep1/Ntrk3/S1pr1/Slc8b1/Mif/Prkd1/Hgf/Sema4b/Fgf1/Ackr2/Thbs1/Fpr2/Sema5a/Fgf18/Pip5k1c/Vav3/Dysf/Ccl25/Cmklr1/Csf1/Coro1c/Kdr/Lgr4/Mospd2/Defb14/Tgfb2/P2rx4	39
GO:0016197	GO:0016197	endosomal transport	28/976	293/25730	0.0955631399317406	2.51930285906115	5.19348509196703	7.85958236034134e-06	0.00107480837283557	0.000849566594294466	Grip2/Grip1/Snx9/Nsg1/Snx16/Trarg1/Baiap3/Fcgr2b/Vps54/Atp9a/Zfyve9/Vps36/Myo5b/Arl1/Dennd1b/Snap25/Rab11b/Lrba/Atp6ap1/Washc5/Nf2/Diaph3/Rab8a/Coro1c/Myo1d/Vps39/Ap5z1/Chmp2a	28
GO:0042330	GO:0042330	taxis	39/976	481/25730	0.0810810810810811	2.13751661497563	5.0005971021276	8.05618418067074e-06	0.00107480837283557	0.000849566594294466	Gpsm3/Calca/Itga2/Cdh13/Sema6d/Dock4/Clxn/Amot/Tiam1/Wnt7b/Flrt2/Tnfsf18/Dpep1/Ntrk3/S1pr1/Slc8b1/Mif/Prkd1/Hgf/Sema4b/Fgf1/Ackr2/Thbs1/Fpr2/Sema5a/Fgf18/Pip5k1c/Vav3/Dysf/Ccl25/Cmklr1/Csf1/Coro1c/Kdr/Lgr4/Mospd2/Defb14/Tgfb2/P2rx4	39
GO:1990182	GO:1990182	exosomal secretion	7/976	21/25730	0.333333333333333	8.78756830601093	7.08896109980841	8.06261329882427e-06	0.00107480837283557	0.000849566594294466	Smpd3/Sdc1/Atp13a2/Atp9a/Myo5b/Prkn/Chmp2a	7
GO:0008361	GO:0008361	regulation of cell size	23/976	216/25730	0.106481481481481	2.80713987553127	5.29593977803984	8.72659198835012e-06	0.00111615095278946	0.00088224523333233	Cyfip1/Macf1/Sema6d/Add1/Smurf1/Opcml/Kcnma1/Gprc5b/Cit/Pten/Cdh4/Ntrk3/Myo5b/Arhgap4/Sin3a/Prkd1/Fxn/Abl1/Sema5a/Hsp90ab1/Dnm2/Rgma/Prr16	23
GO:0050767	GO:0050767	regulation of neurogenesis	39/976	483/25730	0.0807453416149068	2.12866561449954	4.97218911592816	8.86925320105261e-06	0.00111615095278946	0.00088224523333233	Cyfip1/Cux2/Macf1/Sema6d/Smurf1/Grip1/Kdm4a/Opcml/Tiam1/Wnt7b/Nefl/Bmp7/Cit/Pten/Cdh4/Ntrk3/Casz1/Myo5b/Yap1/Arhgap4/Hey1/Fxn/Sema5a/Rnf10/Negr1/Nf2/Prox1/Prmt5/Dpysl5/Dusp10/Rgma/Syngap1/Daam2/Kdr/Igdcc4/Epha4/Bhlhb9/Dmrta2/Nf1	39
GO:0030336	GO:0030336	negative regulation of cell migration	30/976	328/25730	0.0914634146341463	2.41122301079568	5.10754597164748	9.01679938779712e-06	0.00111615095278946	0.00088224523333233	Rgcc/Trib1/Kank1/Sema6d/Magi2/Ptprm/Nav3/Cdh11/Pten/Serpinb1a/Adipor2/Dpep1/Wnt4/Arhgap4/Macir/Mif/Sin3a/Thbs1/Stat3/Stard13/Dach1/Ptpn1/Ccl25/Dusp10/Coro1c/Tafa5/Tmeff2/Dlg5/Epha4/Nf1	30
GO:0060485	GO:0060485	mesenchyme development	30/976	329/25730	0.0911854103343465	2.40389406547411	5.0888605367673	9.57017014834771e-06	0.00111807243309214	0.000883764039398614	Polr1b/Rgcc/Trim28/Spry2/Msx1/Kitl/Sema6d/Tbx20/Tiam1/Wnt7b/Bmp7/Pten/Tcf7l2/Wnt4/Nup133/Yap1/Pdpn/Hey1/Sema4b/Thbs1/Sema5a/Adamts5/Fbxl17/Hpn/Tbx2/Coro1c/Dlg5/Ext1/Epha4/Tgfb2	30
GO:0007411	GO:0007411	axon guidance	26/976	264/25730	0.0984848484848485	2.59632699950323	5.17674919017132	9.62422377484756e-06	0.00111807243309214	0.000883764039398614	Cyfip1/Sema6d/Apbb2/Pou4f3/Ptprm/Wnt7b/Flrt2/Bmp7/Cdh4/Diaph2/Lhx4/Sema4b/Or8a1b/Sema5a/Dpysl5/Rpl24/Ext1/Etv1/Vasp/Lgr4/Epha4/Gap43/Tgfb2/Otx2/Ablim1/Notch3	26
GO:0040013	GO:0040013	negative regulation of locomotion	32/976	363/25730	0.0881542699724518	2.32398500654834	5.04446942464926	9.80013081344096e-06	0.00111807243309214	0.000883764039398614	Rgcc/Trib1/Kank1/Sema6d/Magi2/Ptprm/Nav3/Cdh11/Pten/Serpinb1a/Adipor2/Dpep1/Wnt4/Arhgap4/Macir/Mif/Sin3a/Thbs1/Ghsr/Stat3/Sema5a/Stard13/Dach1/Ptpn1/Ccl25/Dusp10/Coro1c/Tafa5/Tmeff2/Dlg5/Epha4/Nf1	32
GO:0045927	GO:0045927	positive regulation of growth	29/976	313/25730	0.0926517571884984	2.44255093489761	5.09864588287746	9.89254316642404e-06	0.00111807243309214	0.000883764039398614	Mtm1/Cyfip1/Macf1/Celf1/Tbx20/Smurf1/Hdgfl2/Nedd4l/Syt1/Cdh4/Ntrk3/Insr/Myo5b/Yap1/Ddx3x/Fxn/Ghr/Ghsr/Sema5a/Rnf157/Atp8a2/Prox1/Tfcp2l1/Csf1/Slc25a33/Prkn/Hpn/Tbx2/Tgfb2	29
